workerid,rt,sentence,segment4,corans,complete_sentence,answer,type,response,condition,slide_number_in_experiment,language,enjoyment,gender,age,problems,comments,asses,education,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.condition,Answer.time_in_minutes
0,17456,"[""Clint and Ted were in the same chemistry class."", "" Clint asked Ted when their final was."", "" Ted said that"", "" it was"", "" next Wednesday."", "" He added"", "" that"", "" there was"", "" a final paper"", "" due"", "" on Friday"", "", also.""]",""" it was""","""""","""Clint and Ted were in the same chemistry class. Clint asked Ted when their final was. Ted said that it was next Wednesday. He added that there was a final paper due on Friday, also.""","""""","""practice""","[null, 2588, 3396, 1244, 740, 908, 740, 774, 707, 706, 673, 639, 688]",""" any """,4,"""english""","""1""","""Male""","""31""","""None""","""""","""Yes""","""1""","""Windows""",1080,1920,"""Chrome""","""37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 10:31:09 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 10:31:09 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3YDGXNSEOZVUFTD06VMF9SM01N8485""",0,"""Submitted""","""Wed May 30 03:51:23 PDT 2018""","""Tue May 29 10:31:20 PDT 2018""","""Tue May 29 11:11:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""39.570616666666666"""
0,16327,"[""Janice wanted to go for a bike ride on the weekend."", "" Her friend Catherine was going to go with her."", "" They decided"", "" to go"", "" on Saturday."", "" On Saturday"", "" they"", "" packed up"", "" a picnic lunch"", "" and set out."", """", """"]",""" to go""",""" Saturday""","""Janice wanted to go for a bike ride on the weekend. Her friend Catherine was going to go with her. They decided to go on Saturday. On Saturday they packed up a picnic lunch and set out.""",""" Saturday""","""practice""","[5061, 2555, 1782, 773, 774, 706, 740, 1009, 605, 907, 840]",""" all """,5,"""english""","""1""","""Male""","""31""","""None""","""""","""Yes""","""1""","""Windows""",1080,1920,"""Chrome""","""37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 10:31:09 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 10:31:09 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3YDGXNSEOZVUFTD06VMF9SM01N8485""",0,"""Submitted""","""Wed May 30 03:51:23 PDT 2018""","""Tue May 29 10:31:20 PDT 2018""","""Tue May 29 11:11:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""39.570616666666666"""
0,14852,"[""The dinosaurs went extinct 65 million years ago."", "" Scientists are still not sure what caused the extinction."", "" Some believe"", "" it was caused by"", "" a meteor."", "" Others believe"", "" it was"", "" due to"", "" volcanic activity"", "" or a"", "" sudden drop in"", "" sea level.""]",""" it was caused by""","""""","""The dinosaurs went extinct 65 million years ago. Scientists are still not sure what caused the extinction. Some believe it was caused by a meteor. Others believe it was due to volcanic activity or a sudden drop in sea level.""","""""","""practice""","[4708, 1612, 1749, 874, 806, 705, 605, 790, 706, 856, 774, 757, 790, 2136]",""" all """,6,"""english""","""1""","""Male""","""31""","""None""","""""","""Yes""","""1""","""Windows""",1080,1920,"""Chrome""","""37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 10:31:09 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 10:31:09 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3YDGXNSEOZVUFTD06VMF9SM01N8485""",0,"""Submitted""","""Wed May 30 03:51:23 PDT 2018""","""Tue May 29 10:31:20 PDT 2018""","""Tue May 29 11:11:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""39.570616666666666"""
0,11452,"[""Peter and Sam were both dog lovers."", "" Peter asked Sam what his favorite breed was."", "" Sam said"", "" his favorite was"", "" beagles."", "" He added"", "" that"", "" they made"", "" great"", "" house pets."", """", """"]",""" his favorite was""","""""","""Peter and Sam were both dog lovers. Peter asked Sam what his favorite breed was. Sam said his favorite was beagles. He added that they made great house pets.""","""""","""practice""","[4675, 1311, 2319, 1076, 674, 638, 740, 673, 605, 572, 572, 1348]",""" any """,7,"""english""","""1""","""Male""","""31""","""None""","""""","""Yes""","""1""","""Windows""",1080,1920,"""Chrome""","""37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 10:31:09 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 10:31:09 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3YDGXNSEOZVUFTD06VMF9SM01N8485""",0,"""Submitted""","""Wed May 30 03:51:23 PDT 2018""","""Tue May 29 10:31:20 PDT 2018""","""Tue May 29 11:11:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""39.570616666666666"""
0,15849,"[""Johnny and Rich were supposed to bring dessert to the party."", "" They decided to bring ice cream."", "" but couldn&quotechart choose a flavor"", "" Rich&quotechars favorite flavor"", "" was"", "" cookies and cream."", "" Johnny&quotechars"", "" favorite flavor"", "", however"", "", was"", "" rocky road."", """"]",""" Rich&quotechars favorite flavor""",""" Dessert""","""Johnny and Rich were supposed to bring dessert to the party. They decided to bring ice cream. but couldn&quotechart choose a flavor Rich&quotechars favorite flavor was cookies and cream. Johnny&quotechars favorite flavor, however, was rocky road.""",""" Dessert""","""practice""","[2927, 2555, 1177, 807, 705, 739, 706, 640, 622, 638, 639, 740]",""" any """,8,"""english""","""1""","""Male""","""31""","""None""","""""","""Yes""","""1""","""Windows""",1080,1920,"""Chrome""","""37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 10:31:09 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 10:31:09 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3YDGXNSEOZVUFTD06VMF9SM01N8485""",0,"""Submitted""","""Wed May 30 03:51:23 PDT 2018""","""Tue May 29 10:31:20 PDT 2018""","""Tue May 29 11:11:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""39.570616666666666"""
0,11444,"[""Jeff and Mark had to turn in their class project on Monday."", "" Jeff asked Mark to send him his part by Saturday night."", "" Mark nodded"", "" and said that"", "" he would."", "" He added"", "" that"", "" he would"", "" proofread it"", "" first."", """", """"]",""" and said that""","""""","""Jeff and Mark had to turn in their class project on Monday. Jeff asked Mark to send him his part by Saturday night. Mark nodded and said that he would. He added that he would proofread it first.""","""""","""practice""","[6592, 2184, 1211, 977, 740, 739, 672, 673, 639, 840, 673]",""" all """,9,"""english""","""1""","""Male""","""31""","""None""","""""","""Yes""","""1""","""Windows""",1080,1920,"""Chrome""","""37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 10:31:09 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 10:31:09 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3YDGXNSEOZVUFTD06VMF9SM01N8485""",0,"""Submitted""","""Wed May 30 03:51:23 PDT 2018""","""Tue May 29 10:31:20 PDT 2018""","""Tue May 29 11:11:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""39.570616666666666"""
0,19392,"[""Joshua and Kelly were trying to decide which caf?? to go to to do homework."", ""Joshua asked Kelly whether all of them had wireless internet."", ""Kelly said that"", ""some of them"", ""did."", ""She added"", ""that"", ""what was"", ""more important"", ""was whether"", ""the coffee"", ""was good.""]","""some of them""","""""","""Joshua and Kelly were trying to decide which caf?? to go to to do homework.Joshua asked Kelly whether all of them had wireless internet.Kelly said thatsome of themdid.She addedthatwhat wasmore importantwas whetherthe coffeewas good.""","""""","""filler-all-some""","[4794, 7465, 2218, 1043, 807, 638, 706, 605, 639, 654, 773, 672, 571]",""" any """,11,"""english""","""1""","""Male""","""31""","""None""","""""","""Yes""","""1""","""Windows""",1080,1920,"""Chrome""","""37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 10:31:09 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 10:31:09 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3YDGXNSEOZVUFTD06VMF9SM01N8485""",0,"""Submitted""","""Wed May 30 03:51:23 PDT 2018""","""Tue May 29 10:31:20 PDT 2018""","""Tue May 29 11:11:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""39.570616666666666"""
0,14710,"[""Jan and Marcia were looking at blenders."", ""Marcia asked Jan whether they could make ice cream."", ""Jan said that"", ""none of them"", ""could."", ""She added"", ""that"", ""she"", ""was trying"", ""to avoid"", ""dairy,"", ""anyway.""]","""none of them""","""""","""Jan and Marcia were looking at blenders.Marcia asked Jan whether they could make ice cream.Jan said thatnone of themcould.She addedthatshewas tryingto avoiddairy,anyway.""","""""","""filler-noquantifier-otherquantifiers""","[2825, 2454, 1580, 840, 841, 773, 772, 672, 839, 673, 604, 672, 773]",""" any """,12,"""english""","""1""","""Male""","""31""","""None""","""""","""Yes""","""1""","""Windows""",1080,1920,"""Chrome""","""37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 10:31:09 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 10:31:09 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3YDGXNSEOZVUFTD06VMF9SM01N8485""",0,"""Submitted""","""Wed May 30 03:51:23 PDT 2018""","""Tue May 29 10:31:20 PDT 2018""","""Tue May 29 11:11:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""39.570616666666666"""
0,13002,"[""Hillary was visiting a college and was interested in the restaurants in town."", ""She asked an older student whether they used local suppliers."", ""The student said that"", ""many of them"", ""did."", ""He added"", ""that"", ""the rest"", ""were"", ""big chains."", """", """"]","""many of them""","""""","""Hillary was visiting a college and was interested in the restaurants in town.She asked an older student whether they used local suppliers.The student said thatmany of themdid.He addedthatthe restwerebig chains.""","""""","""filler-noquantifier-otherquantifiers""","[4204, 2287, 2219, 1042, 875, 706, 841, 672, 604, 571, 772]",""" any """,13,"""english""","""1""","""Male""","""31""","""None""","""""","""Yes""","""1""","""Windows""",1080,1920,"""Chrome""","""37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 10:31:09 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 10:31:09 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3YDGXNSEOZVUFTD06VMF9SM01N8485""",0,"""Submitted""","""Wed May 30 03:51:23 PDT 2018""","""Tue May 29 10:31:20 PDT 2018""","""Tue May 29 11:11:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""39.570616666666666"""
0,16065,"[""Sophie and Jack had to choose which city to visit on vacation."", ""Jack asked Sophie whether any of them had a famous aquariu."", ""Sophie said that"", ""only some of them"", ""did."", ""She added"", ""that"", ""she"", ""also wanted"", ""to visit"", ""a botanical garden."", """"]","""only some of them""","""""","""Sophie and Jack had to choose which city to visit on vacation.Jack asked Sophie whether any of them had a famous aquariu.Sophie said thatonly some of themdid.She addedthatshealso wantedto visita botanical garden.""","""""","""filler-any-onlysome""","[3682, 4135, 2051, 1312, 1091, 739, 740, 588, 571, 571, 572, 806]",""" any """,14,"""english""","""1""","""Male""","""31""","""None""","""""","""Yes""","""1""","""Windows""",1080,1920,"""Chrome""","""37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3OXT046PA87SJFHEMFAU91B6MIYLNF""","""Language study""","""A 45-minute study where you read short stories.""","""language experiment study communication stanford fun cognitive science reading story""","""$4.00""","""Tue May 29 10:31:09 PDT 2018""","""5""","""0""","""0""","""0""","""Reviewable""","""NotReviewed""","""1 cond""","""4200""","""60000""","""Thu Jun 28 10:31:09 PDT 2018""","""https://requester.mturk.com/mturk/manageHIT?HITId=37OPIVELUU4ZN9WGSYLABO5CJ3YAHM""","""3YDGXNSEOZVUFTD06VMF9SM01N8485""",0,"""Submitted""","""Wed May 30 03:51:23 PDT 2018""","""Tue May 29 10:31:20 PDT 2018""","""Tue May 29 11:11:23 PDT 2018""","""""","""""","""""","""""","""""","""[]""","""undefined""","""39.570616666666666"""
